State,Grade 4 Reading,Grade 4 Math,Grade 8 Reading,Grade 8 Math
Alabama,NAEP Basic,NAEP Proficient,NAEP Basic,NAEP Proficient
Alaska,NAEP Proficient,NAEP Proficient,NAEP Basic,NAEP Proficient
Arizona,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
Arkansas,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
California,NAEP Basic,NAEP Basic,NAEP Proficient,NAEP Basic
Colorado,NAEP Basic,NAEP Proficient,NAEP Basic,NAEP Basic
Connecticut,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
Delaware,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
District of Columbia,NAEP Basic,NAEP Proficient,,
Florida,NAEP Basic,NAEP Basic,NAEP Basic,
Georgia,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
Hawaii,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
Idaho,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
Illinois,NAEP Proficient,NAEP Proficient,NAEP Proficient,NAEP Proficient
Indiana,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Proficient
Iowa,Below NAEP Basic,NAEP Basic,Below NAEP Basic,NAEP Basic
Kansas,NAEP Basic,NAEP Proficient,NAEP Proficient,NAEP Proficient
Kentucky,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
Louisiana,NAEP Basic,NAEP Basic,NAEP Basic,
Maine,,,,
Maryland,,,,
Massachusetts,NAEP Proficient,NAEP Proficient,NAEP Proficient,NAEP Proficient
Michigan,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
Minnesota,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
Mississippi,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
Missouri,NAEP Basic,NAEP Basic,NAEP Basic,
Montana,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
Nebraska,NAEP Basic,NAEP Proficient,NAEP Basic,NAEP Basic
Nevada,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Proficient
New Hampshire,,,,
New Jersey,NAEP Basic,NAEP Proficient,NAEP Basic,
New Mexico,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
New York,NAEP Basic,NAEP Basic,NAEP Basic,
North Carolina,NAEP Basic,NAEP Basic,NAEP Basic,
North Dakota,NAEP Basic,NAEP Proficient,NAEP Basic,NAEP Basic
Ohio,NAEP Basic,NAEP Basic,NAEP Basic,
Oklahoma,NAEP Proficient,NAEP Basic,NAEP Basic,NAEP Proficient
Oregon,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
Pennsylvania,NAEP Basic,NAEP Proficient,NAEP Basic,NAEP Proficient
Puerto Rico,,Below NAEP Basic,,NAEP Basic
Rhode Island,NAEP Proficient,NAEP Proficient,NAEP Proficient,NAEP Proficient
South Carolina,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
,,,,
South Dakota,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
Tennessee,NAEP Basic,NAEP Proficient,NAEP Proficient,
Texas,NAEP Basic,NAEP Basic,NAEP Basic,
Utah,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
Vermont,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Proficient
Virginia,Below NAEP Basic,NAEP Basic,Below NAEP Basic,
Washington,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
West Virginia,NAEP Basic,NAEP Basic,NAEP Basic,NAEP Basic
Wisconsin,NAEP Basic,NAEP Proficient,NAEP Proficient,NAEP Proficient
Wyoming,,,,
